loss,val_loss,train_acc,val_acc,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.7534616592762281,0.5353446661782779,78.95103028154399,83.47862811821548,1737533128,checkpoint_000000,True,False,1,13946444,2025-01-22_09-05-29,137.02727437019348,137.02727437019348,842509,jan-desktop,10.7.0.4,137.02727437019348,1
0.5427586430107518,0.4760834543610648,83.76260639047933,85.08322735302882,1737533262,checkpoint_000001,True,False,2,13946444,2025-01-22_09-07-43,133.80802011489868,270.83529448509216,842509,jan-desktop,10.7.0.4,270.83529448509216,2
0.48743229844480107,0.45019572287154713,85.10436410486994,85.89371860499766,1737533396,checkpoint_000002,True,False,3,13946444,2025-01-22_09-09-56,133.66313695907593,404.4984314441681,842509,jan-desktop,10.7.0.4,404.4984314441681,3
0.46499317584277916,0.4240258828127127,85.68746241911796,86.47345060342259,1737533530,checkpoint_000003,True,False,4,13946444,2025-01-22_09-12-11,134.20035481452942,538.6987862586975,842509,jan-desktop,10.7.0.4,538.6987862586975,4
0.44289023665001065,0.4285903922516665,86.27893777803202,86.5362778564131,1737533664,checkpoint_000004,True,False,5,13946444,2025-01-22_09-14-25,133.92609453201294,672.6248807907104,842509,jan-desktop,10.7.0.4,672.6248807907104,5
0.39593422418232443,0.38769679532634266,87.56105679435741,87.42156570601507,1737533798,checkpoint_000005,True,False,6,13946444,2025-01-22_09-16-39,133.83415365219116,806.4590344429016,842509,jan-desktop,10.7.0.4,806.4590344429016,6
0.4030854043503888,0.3788524643658734,87.32084495125793,87.6580246158103,1737533933,checkpoint_000006,True,False,7,13946444,2025-01-22_09-18-53,134.48776006698608,940.9467945098877,842509,jan-desktop,10.7.0.4,940.9467945098877,7
0.39502777577304155,0.39531995484726035,87.50515756034225,87.47288123643098,1737534067,checkpoint_000007,True,False,8,13946444,2025-01-22_09-21-08,134.115154504776,1075.0619490146637,842509,jan-desktop,10.7.0.4,1075.0619490146637,8
0.3902628848181783,0.37540045755801443,87.62625131034225,88.25468463986208,1737534201,checkpoint_000008,True,False,9,13946444,2025-01-22_09-23-22,133.97474908828735,1209.036698102951,842509,jan-desktop,10.7.0.4,1209.036698102951,9
0.36569940588242716,0.3855295760168446,88.34200963932996,87.61683264335278,1737534335,checkpoint_000009,True,False,10,13946444,2025-01-22_09-25-36,133.81106448173523,1342.8477625846863,842509,jan-desktop,10.7.0.4,1342.8477625846863,10
0.3563400526537741,0.36306603992585657,88.73991319148823,88.23201505363757,1737534469,checkpoint_000010,True,False,11,13946444,2025-01-22_09-27-50,133.7780568599701,1476.6258194446564,842509,jan-desktop,10.7.0.4,1476.6258194446564,11
0.34245578140663585,0.34451177694814666,89.02459884902729,88.75701931058704,1737534603,checkpoint_000011,True,False,12,13946444,2025-01-22_09-30-04,134.20706725120544,1610.8328866958618,842509,jan-desktop,10.7.0.4,1610.8328866958618,12
0.3545260314809547,0.35576934190534004,88.51784925609807,88.28153800923758,1737534737,checkpoint_000012,True,False,13,13946444,2025-01-22_09-32-18,133.85327577590942,1744.6861624717712,842509,jan-desktop,10.7.0.4,1744.6861624717712,13
0.34888588216343375,0.35257891131390773,88.72889717072496,88.52471092652505,1737534871,checkpoint_000013,True,False,14,13946444,2025-01-22_09-34-32,133.9795503616333,1878.6657128334045,842509,jan-desktop,10.7.0.4,1878.6657128334045,14
0.33688307349844804,0.37236254731957,89.01334553658847,88.08001668192074,1737535006,checkpoint_000014,True,True,15,13946444,2025-01-22_09-36-46,133.95895218849182,2012.6246650218964,842509,jan-desktop,10.7.0.4,2012.6246650218964,15
