loss,val_loss,train_acc,val_acc,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.8522029576970519,0.581995706120841,76.70718040951854,82.66952103997275,1737445110,checkpoint_000000,True,False,1,248a7e38,2025-01-21_08-38-31,91.96514463424683,91.96514463424683,763670,jan-desktop,10.7.0.4,91.96514463424683,1
0.6093265187504481,0.517093512008516,81.88095640351624,84.20208204737985,1737445201,checkpoint_000001,True,False,2,248a7e38,2025-01-21_08-40-01,90.40717625617981,182.37232089042664,763670,jan-desktop,10.7.0.4,182.37232089042664,2
0.5437015861058406,0.4389396226234573,83.47523320101315,86.38853842961134,1737445291,checkpoint_000002,True,False,3,248a7e38,2025-01-21_08-41-32,90.29474258422852,272.66706347465515,763670,jan-desktop,10.7.0.4,272.66706347465515,3
0.49964598099962415,0.4462464950281939,84.6364325699204,86.14687739453407,1737445382,checkpoint_000003,True,False,4,248a7e38,2025-01-21_08-43-02,90.64248824119568,363.30955171585083,763670,jan-desktop,10.7.0.4,363.30955171585083,4
0.46982106882676805,0.424374478326427,85.4797641916053,86.58555337682516,1737445471,checkpoint_000004,True,False,5,248a7e38,2025-01-21_08-44-31,88.86214780807495,452.1716995239258,763670,jan-desktop,10.7.0.4,452.1716995239258,5
0.44691316132172404,0.44642253756094324,86.04920584612192,85.69012999659444,1737445560,checkpoint_000005,True,False,6,248a7e38,2025-01-21_08-46-00,89.1128237247467,541.2845232486725,763670,jan-desktop,10.7.0.4,541.2845232486725,6
0.4400299688626965,0.4213073166797487,86.14482458042441,86.67185305010429,1737445650,checkpoint_000006,True,False,7,248a7e38,2025-01-21_08-47-30,89.99017262458801,631.2746958732605,763670,jan-desktop,10.7.0.4,631.2746958732605,7
0.4271533836563714,0.37953980288488404,86.54154333707591,87.72325504980631,1737445739,checkpoint_000007,True,False,8,248a7e38,2025-01-21_08-48-59,88.83872103691101,720.1134169101715,763670,jan-desktop,10.7.0.4,720.1134169101715,8
0.4217378767542273,0.40149731880469286,86.72957961293687,87.09478231024647,1737445829,checkpoint_000008,True,False,9,248a7e38,2025-01-21_08-50-29,90.13978242874146,810.253199338913,763670,jan-desktop,10.7.0.4,810.253199338913,9
0.4032390259152694,0.3853625257452615,87.2214363679175,87.63425088331701,1737445919,checkpoint_000009,True,False,10,248a7e38,2025-01-21_08-52-00,90.1689510345459,900.4221503734589,763670,jan-desktop,10.7.0.4,900.4221503734589,10
0.398406852385123,0.3731748244102053,87.33639046602954,87.81742675386319,1737446010,checkpoint_000010,True,False,11,248a7e38,2025-01-21_08-53-30,90.43395709991455,990.8561074733734,763670,jan-desktop,10.7.0.4,990.8561074733734,11
0.38887272909176435,0.398003155807797,87.68275000931207,86.93616438210378,1737446100,checkpoint_000011,True,False,12,248a7e38,2025-01-21_08-55-00,90.12161827087402,1080.9777257442474,763670,jan-desktop,10.7.0.4,1080.9777257442474,12
0.38631770936705223,0.3667485252987567,87.7244075856179,88.16820005534035,1737446189,checkpoint_000012,True,False,13,248a7e38,2025-01-21_08-56-30,89.21656465530396,1170.1942903995514,763670,jan-desktop,10.7.0.4,1170.1942903995514,13
0.3788956794217765,0.3646395711375655,87.9359249286961,87.95386065408029,1737446278,checkpoint_000013,True,False,14,248a7e38,2025-01-21_08-57-59,88.83218383789062,1259.026474237442,763670,jan-desktop,10.7.0.4,1259.026474237442,14
0.374009727332875,0.3620942107421889,88.11652285050658,88.23635315120684,1737446368,checkpoint_000014,True,True,15,248a7e38,2025-01-21_08-59-29,90.03128290176392,1349.057757139206,763670,jan-desktop,10.7.0.4,1349.057757139206,15
