loss,val_loss,train_acc,val_acc,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1.1819412472099067,0.8789240957631005,72.80766433986686,78.45237456854044,1738997929,checkpoint_000000,True,False,1,1e767146,2025-02-08_07-58-49,1339.7828011512756,1339.7828011512756,97620,jan-desktop,10.7.0.4,1339.7828011512756,1
0.9091602212977078,0.7942101769811577,77.45871186205622,79.60815099030243,1738999237,checkpoint_000001,True,False,2,1e767146,2025-02-08_08-20-38,1308.2777416706085,2648.060542821884,97620,jan-desktop,10.7.0.4,2648.060542821884,2
0.832586006940239,0.7835755211114883,78.92230232474523,79.8896897600263,1739000542,checkpoint_000002,True,False,3,1e767146,2025-02-08_08-42-23,1304.973129272461,3953.033672094345,97620,jan-desktop,10.7.0.4,3953.033672094345,3
0.7795537097876271,0.7664512036244074,80.07579113761506,79.49662228796844,1739001847,checkpoint_000003,True,False,4,1e767146,2025-02-08_09-04-08,1305.0986440181732,5258.132316112518,97620,jan-desktop,10.7.0.4,5258.132316112518,4
0.732541415002197,0.7034472211615906,80.99948759040105,81.31357330703484,1739003151,checkpoint_000004,True,False,5,1e767146,2025-02-08_09-25-51,1303.5747246742249,6561.707040786743,97620,jan-desktop,10.7.0.4,6561.707040786743,5
0.7292857235069904,0.7175245485537582,80.96901647764629,81.0001826512163,1739004455,checkpoint_000005,True,False,6,1e767146,2025-02-08_09-47-36,1303.9443888664246,7865.651429653168,97620,jan-desktop,10.7.0.4,7865.651429653168,6
0.6867894046049979,0.6282514940719638,82.0003268306213,82.93514844263642,1739005759,checkpoint_000006,True,False,7,1e767146,2025-02-08_10-09-20,1304.0210313796997,9169.672461032867,97620,jan-desktop,10.7.0.4,9169.672461032867,7
0.6681874443694121,0.6617166575458314,82.27366889587442,82.43299884944116,1739007064,checkpoint_000007,True,False,8,1e767146,2025-02-08_10-31-05,1305.309517621994,10474.981978654861,97620,jan-desktop,10.7.0.4,10474.981978654861,8
0.6601777393908964,0.6280278099990554,82.40130706566404,83.09942410420776,1739008368,checkpoint_000008,True,False,9,1e767146,2025-02-08_10-52-49,1303.3912312984467,11778.373209953308,97620,jan-desktop,10.7.0.4,11778.373209953308,9
0.642813165280968,0.6753769657678075,82.79589535564595,82.69791081114398,1739009674,checkpoint_000009,True,False,10,1e767146,2025-02-08_11-14-35,1305.2583405971527,13083.63155055046,97620,jan-desktop,10.7.0.4,13083.63155055046,10
0.6289743637252185,0.6041264311803711,83.11611963757396,83.85346975673899,1739010978,checkpoint_000010,True,False,11,1e767146,2025-02-08_11-36-19,1304.3031268119812,14387.934677362442,97620,jan-desktop,10.7.0.4,14387.934677362442,11
0.6244795472485324,0.6075934241132603,83.21886857433432,83.5524957881328,1739012282,checkpoint_000011,True,False,12,1e767146,2025-02-08_11-58-02,1302.7694902420044,15690.704167604446,97620,jan-desktop,10.7.0.4,15690.704167604446,12
0.5996266407467838,0.6203179330482251,83.71674335346812,83.18149911653518,1739013587,checkpoint_000012,True,False,13,1e767146,2025-02-08_12-19-47,1304.828780889511,16995.532948493958,97620,jan-desktop,10.7.0.4,16995.532948493958,13
0.5925884326423208,0.6022584544908669,83.9101280510355,83.59422285913872,1739014892,checkpoint_000013,True,False,14,1e767146,2025-02-08_12-41-33,1305.2391521930695,18300.772100687027,97620,jan-desktop,10.7.0.4,18300.772100687027,14
0.575225755992449,0.5807080719226765,84.41852941629685,84.19401596400394,1739016199,checkpoint_000014,True,False,15,1e767146,2025-02-08_13-03-19,1305.9118094444275,19606.683910131454,97620,jan-desktop,10.7.0.4,19606.683910131454,15
0.5816644452853749,0.5732878218384253,84.25651778743425,84.12108532626561,1739017503,checkpoint_000015,True,False,16,1e767146,2025-02-08_13-25-03,1303.7539863586426,20910.437896490097,97620,jan-desktop,10.7.0.4,20910.437896490097,16
0.569188081054017,0.5554344396789869,84.33355789776463,84.60958518244576,1739018808,checkpoint_000016,True,False,17,1e767146,2025-02-08_13-46-49,1305.167695760727,22215.605592250824,97620,jan-desktop,10.7.0.4,22215.605592250824,17
0.5680153714751618,0.5577902155617873,84.33670187684912,84.69107864891518,1739020115,checkpoint_000017,True,False,18,1e767146,2025-02-08_14-08-36,1305.793356180191,23521.398948431015,97620,jan-desktop,10.7.0.4,23521.398948431015,18
0.5528341134120193,0.5683356608491805,84.81102456237673,84.60892258382643,1739021419,checkpoint_000018,True,False,19,1e767146,2025-02-08_14-30-20,1303.9292414188385,24825.328189849854,97620,jan-desktop,10.7.0.4,24825.328189849854,19
0.5455473273940799,0.5538352359914117,85.0527794727975,84.93912516436555,1739022724,checkpoint_000019,True,False,20,1e767146,2025-02-08_14-52-05,1305.143166065216,26130.47135591507,97620,jan-desktop,10.7.0.4,26130.47135591507,20
0.5443566109881632,0.5364333026938968,85.0401689112837,85.1347773874096,1739024031,checkpoint_000020,True,False,21,1e767146,2025-02-08_15-13-52,1306.485903263092,27436.95725917816,97620,jan-desktop,10.7.0.4,27436.95725917816,21
0.5300328553405901,0.5467939100745651,85.20681277223044,85.14867151545036,1739025335,checkpoint_000021,True,False,22,1e767146,2025-02-08_15-35-36,1303.3781201839447,28740.335379362106,97620,jan-desktop,10.7.0.4,28740.335379362106,22
0.5274656310418828,0.5325753341351326,85.44922612076759,85.07501849112425,1739026641,checkpoint_000022,True,False,23,1e767146,2025-02-08_15-57-22,1305.806875705719,30046.142255067825,97620,jan-desktop,10.7.0.4,30046.142255067825,23
0.5276882070302963,0.551689226826032,85.38805057322485,84.91007951183433,1739027945,checkpoint_000023,True,False,24,1e767146,2025-02-08_16-19-06,1304.2974367141724,31350.439691781998,97620,jan-desktop,10.7.0.4,31350.439691781998,24
0.5268371179596417,0.504992950471739,85.33345085470086,85.4241240343524,1739029250,checkpoint_000024,True,False,25,1e767146,2025-02-08_16-40-51,1305.0211482048035,32655.4608399868,97620,jan-desktop,10.7.0.4,32655.4608399868,25
0.5075909194070846,0.5173188778758049,85.84609079655654,85.45103909845497,1739030563,checkpoint_000025,True,False,26,1e767146,2025-02-08_17-02-43,1311.849677324295,33967.310517311096,97620,jan-desktop,10.7.0.4,33967.310517311096,26
0.5100672207638207,0.5002575362597903,85.81053251869658,85.9032384122288,1739031872,checkpoint_000026,True,False,27,1e767146,2025-02-08_17-24-32,1308.631828069687,35275.94234538078,97620,jan-desktop,10.7.0.4,35275.94234538078,27
0.5095635739600078,0.4964111834578216,85.83830343934912,85.95862169214332,1739033175,checkpoint_000027,True,False,28,1e767146,2025-02-08_17-46-16,1302.4338417053223,36578.376187086105,97620,jan-desktop,10.7.0.4,36578.376187086105,28
0.5017645542385677,0.5457327461284068,85.88965560281065,84.93884543474688,1739034483,checkpoint_000028,True,False,29,1e767146,2025-02-08_18-08-03,1307.140503168106,37885.51669025421,97620,jan-desktop,10.7.0.4,37885.51669025421,29
0.4946492934682303,0.49062195351140364,86.1207360237919,86.07763539612097,1739035790,checkpoint_000029,True,False,30,1e767146,2025-02-08_18-29-50,1306.0887622833252,39191.60545253754,97620,jan-desktop,10.7.0.4,39191.60545253754,30
0.48759630530451736,0.4794262223028474,86.28124966613248,86.50941876232741,1739037096,checkpoint_000030,True,False,31,1e767146,2025-02-08_18-51-37,1306.3212068080902,40497.92665934563,97620,jan-desktop,10.7.0.4,40497.92665934563,31
0.4897038577445265,0.49748336986121205,86.20928744966305,86.00656619822485,1739038401,checkpoint_000031,True,False,32,1e767146,2025-02-08_19-13-22,1304.730954170227,41802.657613515854,97620,jan-desktop,10.7.0.4,41802.657613515854,32
0.4819710871732483,0.4761965680060287,86.4200164365549,86.53271727071007,1739039706,checkpoint_000032,True,False,33,1e767146,2025-02-08_19-35-07,1304.1306354999542,43106.78824901581,97620,jan-desktop,10.7.0.4,43106.78824901581,33
0.4734115155005,0.4975044829563962,86.65052499383629,86.2071327457265,1739041009,checkpoint_000033,True,False,34,1e767146,2025-02-08_19-56-50,1302.2971396446228,44409.08538866043,97620,jan-desktop,10.7.0.4,44409.08538866043,34
0.47493314787331553,0.49548437642554444,86.62779475365713,85.97193602071006,1739042314,checkpoint_000034,True,False,35,1e767146,2025-02-08_20-18-35,1303.986837387085,45713.072226047516,97620,jan-desktop,10.7.0.4,45713.072226047516,35
0.4756335538801634,0.49463586539030074,86.48075795631985,86.1552651421762,1739043618,checkpoint_000035,True,False,36,1e767146,2025-02-08_20-40-19,1303.2702107429504,47016.342436790466,97620,jan-desktop,10.7.0.4,47016.342436790466,36
0.4645232328938113,0.4822079224511981,86.86611994575937,86.33889361439842,1739044926,checkpoint_000036,True,False,37,1e767146,2025-02-08_21-02-07,1307.607436656952,48323.94987344742,97620,jan-desktop,10.7.0.4,48323.94987344742,37
0.4728217818017583,0.47447756040841343,86.69968716613248,86.45897661900065,1739046231,checkpoint_000037,True,False,38,1e767146,2025-02-08_21-23-51,1303.9507613182068,49627.900634765625,97620,jan-desktop,10.7.0.4,49627.900634765625,38
0.46377382314557003,0.5141195373299221,86.78174915762656,85.63402202498357,1739047534,checkpoint_000038,True,False,39,1e767146,2025-02-08_21-45-35,1302.7674629688263,50930.66809773445,97620,jan-desktop,10.7.0.4,50930.66809773445,39
0.4716576428194013,0.4889494005507893,86.61876915885931,86.08101053994083,1739048836,checkpoint_000039,True,False,40,1e767146,2025-02-08_22-07-16,1301.418210029602,52232.08630776405,97620,jan-desktop,10.7.0.4,52232.08630776405,40
0.4627408409232481,0.4728277520959576,86.80522317759697,86.8232832018409,1739050139,checkpoint_000040,True,False,41,1e767146,2025-02-08_22-29-00,1302.9815793037415,53535.067887067795,97620,jan-desktop,10.7.0.4,53535.067887067795,41
0.46097710289992394,0.48236904108689893,86.90385909763313,86.42479372123603,1739051442,checkpoint_000041,True,False,42,1e767146,2025-02-08_22-50-42,1302.406644821167,54837.47453188896,97620,jan-desktop,10.7.0.4,54837.47453188896,42
0.45459976430878873,0.468199586185963,87.0933574231591,86.64140830456937,1739052744,checkpoint_000042,True,False,43,1e767146,2025-02-08_23-12-25,1302.488056898117,56139.96258878708,97620,jan-desktop,10.7.0.4,56139.96258878708,43
0.4513862926813049,0.4873428361490369,87.12173988638231,86.23958323060486,1739054045,checkpoint_000043,True,False,44,1e767146,2025-02-08_23-34-06,1300.9231305122375,57440.88571929932,97620,jan-desktop,10.7.0.4,57440.88571929932,44
0.4509455044774546,0.45861708644156657,87.11126350879356,86.89701604618672,1739055349,checkpoint_000044,True,False,45,1e767146,2025-02-08_23-55-50,1303.1388907432556,58744.02461004257,97620,jan-desktop,10.7.0.4,58744.02461004257,45
0.4518495300681227,0.47214233479152123,87.10534894292407,86.3817232700526,1739056654,checkpoint_000045,True,False,46,1e767146,2025-02-09_00-17-35,1304.2560873031616,60048.280697345734,97620,jan-desktop,10.7.0.4,60048.280697345734,46
0.4444412754382938,0.46908787039419014,87.26473100550625,86.70038297172913,1739057956,checkpoint_000046,True,False,47,1e767146,2025-02-09_00-39-16,1301.2996253967285,61349.58032274246,97620,jan-desktop,10.7.0.4,61349.58032274246,47
0.4383522818009887,0.47996482235069077,87.44304091674886,86.25975252712031,1739059262,checkpoint_000047,True,False,48,1e767146,2025-02-09_01-01-02,1305.707463502884,62655.287786245346,97620,jan-desktop,10.7.0.4,62655.287786245346,48
0.4426655034006884,0.47964829452335833,87.23809567102235,86.48237528763971,1739060564,checkpoint_000048,True,False,49,1e767146,2025-02-09_01-22-45,1301.8457562923431,63957.13354253769,97620,jan-desktop,10.7.0.4,63957.13354253769,49
0.44017378141650826,0.4657981415672435,87.47271560137246,86.90100478714662,1739061868,checkpoint_000049,True,False,50,1e767146,2025-02-09_01-44-29,1303.455137014389,65260.58867955208,97620,jan-desktop,10.7.0.4,65260.58867955208,50
0.43654001714144314,0.4606954028829932,87.44525813095825,86.9809065787311,1739063171,checkpoint_000050,True,False,51,1e767146,2025-02-09_02-06-11,1301.7928047180176,66562.3814842701,97620,jan-desktop,10.7.0.4,66562.3814842701,51
0.4400893281752037,0.45895618013209766,87.32542128944773,86.86695379273505,1739064474,checkpoint_000051,True,False,52,1e767146,2025-02-09_02-27-55,1302.913476228714,67865.29496049881,97620,jan-desktop,10.7.0.4,67865.29496049881,52
0.43562231143703684,0.45810533811234766,87.48416255752794,86.88135118754109,1739065778,checkpoint_000052,True,False,53,1e767146,2025-02-09_02-49-38,1303.5214920043945,69168.8164525032,97620,jan-desktop,10.7.0.4,69168.8164525032,53
0.4342482583742175,0.47433827909744447,87.48276789016272,86.64052617521368,1739067082,checkpoint_000053,True,False,54,1e767146,2025-02-09_03-11-22,1303.7994949817657,70472.61594748497,97620,jan-desktop,10.7.0.4,70472.61594748497,54
0.4322310283790446,0.45043048905415667,87.68748073841223,87.03531815006575,1739068386,checkpoint_000054,True,False,55,1e767146,2025-02-09_03-33-06,1303.7605786323547,71776.37652611732,97620,jan-desktop,10.7.0.4,71776.37652611732,55
0.4357488798448402,0.4547390617347426,87.58213875534189,87.09283058021039,1739069699,checkpoint_000055,True,False,56,1e767146,2025-02-09_03-55-00,1313.7153687477112,73090.09189486504,97620,jan-desktop,10.7.0.4,73090.09189486504,56
0.4376671491418448,0.4603431918575532,87.44940360987837,87.01632581360947,1739071002,checkpoint_000056,True,False,57,1e767146,2025-02-09_04-16-43,1302.750813961029,74392.84270882607,97620,jan-desktop,10.7.0.4,74392.84270882607,57
0.4263753698507531,0.45495918483783804,87.80413803110618,86.85785318047337,1739072306,checkpoint_000057,True,False,58,1e767146,2025-02-09_04-38-27,1303.397646188736,75696.2403550148,97620,jan-desktop,10.7.0.4,75696.2403550148,58
0.43067586940195823,0.46623642172664403,87.61353963777943,86.6377509656476,1739073610,checkpoint_000058,True,False,59,1e767146,2025-02-09_05-00-11,1303.8668847084045,77000.1072397232,97620,jan-desktop,10.7.0.4,77000.1072397232,59
0.4243809216003865,0.46928242973362405,87.8087184880424,86.6436559007232,1739074917,checkpoint_000059,True,False,60,1e767146,2025-02-09_05-21-58,1307.1110751628876,78307.2183148861,97620,jan-desktop,10.7.0.4,78307.2183148861,60
0.42998779563026296,0.4433100770103435,87.63888400928666,87.1456627013478,1739076218,checkpoint_000060,True,False,61,1e767146,2025-02-09_05-43-39,1300.8570008277893,79608.07531571388,97620,jan-desktop,10.7.0.4,79608.07531571388,61
0.42160554616194634,0.4443644513707194,87.88786535379684,87.3466713921762,1739077521,checkpoint_000061,True,False,62,1e767146,2025-02-09_06-05-22,1302.331922531128,80910.40723824501,97620,jan-desktop,10.7.0.4,80910.40723824501,62
0.42022927408210103,0.45353496570554047,87.87974605522682,87.13519384861932,1739078824,checkpoint_000062,True,False,63,1e767146,2025-02-09_06-27-05,1303.0302305221558,82213.43746876717,97620,jan-desktop,10.7.0.4,82213.43746876717,63
0.4280171132998334,0.4558104498994847,87.76133061616535,86.88748798076924,1739080129,checkpoint_000063,True,False,64,1e767146,2025-02-09_06-48-50,1304.6710586547852,83518.10852742195,97620,jan-desktop,10.7.0.4,83518.10852742195,64
0.4259573453023202,0.4315333041507337,87.72587352584648,87.63998459072978,1739081435,checkpoint_000064,True,False,65,1e767146,2025-02-09_07-10-35,1304.9020659923553,84823.0105934143,97620,jan-desktop,10.7.0.4,84823.0105934143,65
0.42419972917685905,0.4493808949490388,87.7561934479783,87.00565746219593,1739082740,checkpoint_000065,True,False,66,1e767146,2025-02-09_07-32-21,1304.4177136421204,86127.42830705643,97620,jan-desktop,10.7.0.4,86127.42830705643,66
0.41819829237518,0.43882996147291525,87.9713741216716,87.39016765285996,1739084050,checkpoint_000066,True,False,67,1e767146,2025-02-09_07-54-11,1309.023815870285,87436.45212292671,97620,jan-desktop,10.7.0.4,87436.45212292671,67
0.4204688568080827,0.46494140843550363,87.8832444475263,86.92959114069691,1739085355,checkpoint_000067,True,False,68,1e767146,2025-02-09_08-15-56,1304.353392124176,88740.80551505089,97620,jan-desktop,10.7.0.4,88740.80551505089,68
0.4189133283413119,0.4460635809683137,87.96290816588593,87.1907480687048,1739086660,checkpoint_000068,True,False,69,1e767146,2025-02-09_08-37-41,1304.362493276596,90045.16800832748,97620,jan-desktop,10.7.0.4,90045.16800832748,69
