loss,val_loss,train_acc,val_acc,training_iteration,num_classes,timestamp,checkpoint_dir_name,should_checkpoint,done,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.9223673201104006,0.684309363613526,75.57136680226824,80.45882170447074,0,124,1741692207,checkpoint_000000,True,False,7adb91eb,2025-03-11_12-23-28,1161.1402206420898,1161.1402206420898,101502,jan-desktop,10.7.0.4,1161.1402206420898,1
0.7452750940682987,0.6582085081438224,78.9634779236522,80.88142278928336,1,124,1741693367,checkpoint_000001,True,False,7adb91eb,2025-03-11_12-42-48,1159.5516002178192,2320.691820859909,101502,jan-desktop,10.7.0.4,2320.691820859909,2
0.6921369602282842,0.6075240157544612,80.23690204326923,82.04887769148587,2,124,1741694518,checkpoint_000002,True,False,7adb91eb,2025-03-11_13-01-58,1150.5670976638794,3471.2589185237885,101502,jan-desktop,10.7.0.4,3471.2589185237885,3
0.6491128304414451,0.6021121718237797,81.24381084093524,82.51330159023668,3,124,1741695668,checkpoint_000003,True,False,7adb91eb,2025-03-11_13-21-09,1150.4654908180237,4621.724409341812,101502,jan-desktop,10.7.0.4,4621.724409341812,4
0.6280210136125485,0.5597646232197682,81.8304500534188,83.37743065828403,4,124,1741696817,checkpoint_000004,True,False,7adb91eb,2025-03-11_13-40-18,1148.9755573272705,5770.699966669083,101502,jan-desktop,10.7.0.4,5770.699966669083,5
0.6051147579463819,0.5732705391198397,82.28988034701676,83.11377599030243,5,124,1741697951,checkpoint_000005,True,False,7adb91eb,2025-03-11_13-59-11,1133.8724598884583,6904.572426557541,101502,jan-desktop,10.7.0.4,6904.572426557541,6
0.6004055178600053,0.5549005758514007,82.44003079285832,83.65298251561472,6,124,1741699086,checkpoint_000006,True,False,7adb91eb,2025-03-11_14-18-07,1135.3559064865112,8039.928333044052,101502,jan-desktop,10.7.0.4,8039.928333044052,7
0.5833777948903541,0.5266477277626594,82.84482374363084,84.34023545364892,7,124,1741700237,checkpoint_000007,True,False,7adb91eb,2025-03-11_14-37-17,1150.428094625473,9190.356427669525,101502,jan-desktop,10.7.0.4,9190.356427669525,8
0.5587036681361497,0.5062219159677624,83.43281820142998,84.79840976331361,8,124,1741701391,checkpoint_000008,True,False,7adb91eb,2025-03-11_14-56-33,1155.0888545513153,10345.44528222084,101502,jan-desktop,10.7.0.4,10345.44528222084,9
0.5523123085219414,0.5197833520670732,83.6118927977071,84.21239829881657,9,124,1741702688,checkpoint_000009,True,False,7adb91eb,2025-03-11_15-18-09,1295.526195049286,11640.971477270126,101502,jan-desktop,10.7.0.4,11640.971477270126,10
0.5451111003756524,0.5228529480844736,83.89052065355851,84.3651298487837,10,124,1741703822,checkpoint_000010,True,False,7adb91eb,2025-03-11_15-37-03,1134.0425908565521,12775.014068126678,101502,jan-desktop,10.7.0.4,12775.014068126678,11
0.5287488833007713,0.5067975161472956,84.2353989203238,84.87153137327417,11,124,1741704957,checkpoint_000011,True,False,7adb91eb,2025-03-11_15-55-57,1134.0318014621735,13909.045869588852,101502,jan-desktop,10.7.0.4,13909.045869588852,12
0.5240866453511019,0.4994235870614648,84.3129987467127,84.9733382642998,12,124,1741706091,checkpoint_000012,True,False,7adb91eb,2025-03-11_16-14-52,1134.2497463226318,15043.295615911484,101502,jan-desktop,10.7.0.4,15043.295615911484,13
0.5095943405665457,0.4924658009534081,84.77699213613576,85.10259605111769,13,124,1741707261,checkpoint_000013,True,False,7adb91eb,2025-03-11_16-34-21,1169.151028394699,16212.446644306183,101502,jan-desktop,10.7.0.4,16212.446644306183,14
0.5088387123898913,0.5389458773036798,84.78163315150394,84.0006417447403,14,124,1741708423,checkpoint_000014,True,False,7adb91eb,2025-03-11_16-53-44,1162.3773849010468,17374.82402920723,101502,jan-desktop,10.7.0.4,17374.82402920723,15
0.5033410792270054,0.4853575186307232,84.87207282934747,85.37720147107166,15,124,1741709581,checkpoint_000015,True,False,7adb91eb,2025-03-11_17-13-02,1158.365749835968,18533.189779043198,101502,jan-desktop,10.7.0.4,18533.189779043198,16
0.4933333906282981,0.49670346404115356,85.17367731960881,84.96453967373438,16,124,1741710735,checkpoint_000016,True,False,7adb91eb,2025-03-11_17-32-16,1153.6257252693176,19686.815504312515,101502,jan-desktop,10.7.0.4,19686.815504312515,17
0.4863215379820516,0.4836211825783054,85.33456723064596,85.27023935733071,17,124,1741711883,checkpoint_000017,True,False,7adb91eb,2025-03-11_17-51-23,1145.7142741680145,20832.52977848053,101502,jan-desktop,10.7.0.4,20832.52977848053,18
0.48471282491770884,0.5035523046553135,85.38309639012164,84.69744596482577,18,124,1741713137,checkpoint_000018,True,False,7adb91eb,2025-03-11_18-12-18,1253.9320781230927,22086.461856603622,101502,jan-desktop,10.7.0.4,22086.461856603622,19
0.4708843039193501,0.4756307960177461,85.79551739192965,85.2331613658777,19,124,1741714273,checkpoint_000019,True,False,7adb91eb,2025-03-11_18-31-14,1136.1765887737274,23222.63844537735,101502,jan-desktop,10.7.0.4,23222.63844537735,20
0.4719888509282221,0.47655823388447366,85.74813958744247,85.64091900887574,20,124,1741715412,checkpoint_000020,True,False,7adb91eb,2025-03-11_18-50-13,1138.8312397003174,24361.469685077667,101502,jan-desktop,10.7.0.4,24361.469685077667,21
0.45684430048801006,0.46529891272385915,86.07812217496712,85.69489295693623,21,124,1741716544,checkpoint_000021,True,False,7adb91eb,2025-03-11_19-09-05,1131.5823006629944,25493.05198574066,101502,jan-desktop,10.7.0.4,25493.05198574066,22
