loss,val_loss,train_acc,val_acc,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1.269336130657642,0.8525459892887006,68.56244479268656,76.61977060363543,1737206895,checkpoint_000000,True,False,1,b3284378,2025-01-18_14-28-15,66.76518082618713,66.76518082618713,341850,jan-desktop,10.7.0.4,66.76518082618713,1
0.8670743538750162,0.7274618948535095,75.6023433841684,78.97976552190201,1737206961,checkpoint_000001,True,False,2,b3284378,2025-01-18_14-29-21,65.78592085838318,132.5511016845703,341850,jan-desktop,10.7.0.4,132.5511016845703,2
0.7876520789891696,0.6641447882858111,77.0614959585586,80.32255504767784,1737207026,checkpoint_000002,True,False,3,b3284378,2025-01-18_14-30-26,64.92391204833984,197.47501373291016,341850,jan-desktop,10.7.0.4,197.47501373291016,3
0.7368080978878111,0.6102392549137418,78.32234386307522,81.84827899514708,1737207093,checkpoint_000003,True,False,4,b3284378,2025-01-18_14-31-33,67.59239983558655,265.0674135684967,341850,jan-desktop,10.7.0.4,265.0674135684967,4
0.7028153517263399,0.6038755405721047,79.28726510285854,81.9304361244732,1737207157,checkpoint_000004,True,False,5,b3284378,2025-01-18_14-32-37,63.57896089553833,328.64637446403503,341850,jan-desktop,10.7.0.4,328.64637446403503,5
0.672613769662466,0.5991855308735113,79.90656511403303,81.66165566067856,1737207222,checkpoint_000005,True,False,6,b3284378,2025-01-18_14-33-42,65.29672980308533,393.94310426712036,341850,jan-desktop,10.7.0.4,393.94310426712036,6
0.6535509103815332,0.5711121835725771,80.4109915100464,82.5744227842578,1737207287,checkpoint_000006,True,False,7,b3284378,2025-01-18_14-34-47,64.61832785606384,458.5614321231842,341850,jan-desktop,10.7.0.4,458.5614321231842,7
0.6499464084668983,0.5505666866791334,80.52210404383594,83.21119790558086,1737207351,checkpoint_000007,True,False,8,b3284378,2025-01-18_14-35-52,64.56172800064087,523.1231601238251,341850,jan-desktop,10.7.0.4,523.1231601238251,8
0.6196765404382198,0.5722931124966779,81.35285105865012,82.41426969371248,1737207416,checkpoint_000008,True,False,9,b3284378,2025-01-18_14-36-56,64.86764550209045,587.9908056259155,341850,jan-desktop,10.7.0.4,587.9908056259155,9
0.6105457938832345,0.5287957356559286,81.51903405160488,83.91400762526074,1737207482,checkpoint_000009,True,False,10,b3284378,2025-01-18_14-38-02,65.18057584762573,653.1713814735413,341850,jan-desktop,10.7.0.4,653.1713814735413,10
0.6029616651667965,0.5392046162335993,81.78552025243711,83.64878370971861,1737207547,checkpoint_000010,True,False,11,b3284378,2025-01-18_14-39-07,65.2859673500061,718.4573488235474,341850,jan-desktop,10.7.0.4,718.4573488235474,11
0.5941893073509066,0.5083637647062754,82.0087152726044,84.31556832936018,1737207614,checkpoint_000011,True,False,12,b3284378,2025-01-18_14-40-14,67.1086699962616,785.566018819809,341850,jan-desktop,10.7.0.4,785.566018819809,12
0.5863701927897741,0.5087055162988978,82.12937534587715,84.6110219073262,1737207680,checkpoint_000012,True,False,13,b3284378,2025-01-18_14-41-20,66.10987544059753,851.6758942604065,341850,jan-desktop,10.7.0.4,851.6758942604065,13
0.5801576284303082,0.5114034824877334,82.4025905200396,84.16907472542675,1737207744,checkpoint_000013,True,False,14,b3284378,2025-01-18_14-42-24,64.00369715690613,915.6795914173126,341850,jan-desktop,10.7.0.4,915.6795914173126,14
0.5723594949721432,0.5137397680136797,82.58124072118045,84.07509458409604,1737207811,checkpoint_000014,True,True,15,b3284378,2025-01-18_14-43-31,66.30056691169739,981.98015832901,341850,jan-desktop,10.7.0.4,981.98015832901,15
