acc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
16.41571439593887,1717263290,,False,1,612d5a5b,2024-06-01_19-34-50,110.56924557685852,110.56924557685852,80310,jan-desktop,10.7.0.4,110.56924557685852,1
15.484833952364735,1717263398,,False,2,612d5a5b,2024-06-01_19-36-38,107.96652698516846,218.53577256202698,80310,jan-desktop,10.7.0.4,218.53577256202698,2
17.12607820548295,1717263507,,False,3,612d5a5b,2024-06-01_19-38-27,108.66076636314392,327.1965389251709,80310,jan-desktop,10.7.0.4,327.1965389251709,3
17.753408220169426,1717263615,,False,4,612d5a5b,2024-06-01_19-40-15,108.59531354904175,435.79185247421265,80310,jan-desktop,10.7.0.4,435.79185247421265,4
16.551400669405304,1717263724,,False,5,612d5a5b,2024-06-01_19-42-04,108.1342248916626,543.9260773658752,80310,jan-desktop,10.7.0.4,543.9260773658752,5
18.015390202630794,1717263831,,False,6,612d5a5b,2024-06-01_19-43-51,107.84570741653442,651.7717847824097,80310,jan-desktop,10.7.0.4,651.7717847824097,6
17.36550833297859,1717263940,,False,7,612d5a5b,2024-06-01_19-45-40,108.22618699073792,759.9979717731476,80310,jan-desktop,10.7.0.4,759.9979717731476,7
