loss,val_loss,train_acc,val_acc,training_iteration,num_classes,timestamp,checkpoint_dir_name,should_checkpoint,done,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1.0839979337197212,0.8011594327704774,74.00270340236686,79.35767864480604,0,124,1740260651,checkpoint_000000,True,False,c75247d6,2025-02-22_22-44-12,1203.1821434497833,1203.1821434497833,158348,jan-desktop,10.7.0.4,1203.1821434497833,1
0.864305470890055,0.7463036550333103,78.18852841469428,80.6311949375411,1,124,1740261879,checkpoint_000001,True,False,c75247d6,2025-02-22_23-04-40,1228.3847875595093,2431.5669310092926,158348,jan-desktop,10.7.0.4,2431.5669310092926,2
0.8046766053305732,0.7201453695611821,79.46599017402202,81.27696211374096,2,124,1740263059,checkpoint_000002,True,False,c75247d6,2025-02-22_23-24-20,1179.4547755718231,3611.0217065811157,158348,jan-desktop,10.7.0.4,3611.0217065811157,3
0.7563869768153462,0.7081742580317789,80.41968857864892,81.24520576512163,3,124,1740264225,checkpoint_000003,True,False,c75247d6,2025-02-22_23-43-45,1165.6934654712677,4776.715172052383,158348,jan-desktop,10.7.0.4,4776.715172052383,4
0.7225227587173383,0.6780476769184073,81.08260190664036,82.0925141765286,4,124,1740265535,checkpoint_000004,True,False,c75247d6,2025-02-23_00-05-35,1309.7943391799927,6086.509511232376,158348,jan-desktop,10.7.0.4,6086.509511232376,5
0.7021681989170611,0.6845069229685598,81.53930732762163,81.81718339086127,5,124,1740266726,checkpoint_000005,True,False,c75247d6,2025-02-23_00-25-27,1191.3329327106476,7277.842443943024,158348,jan-desktop,10.7.0.4,7277.842443943024,6
0.6738245257580032,0.6251763992673821,82.19992403229783,82.98276236850757,6,124,1740267918,checkpoint_000006,True,False,c75247d6,2025-02-23_00-45-19,1192.2520701885223,8470.094514131546,158348,jan-desktop,10.7.0.4,8470.094514131546,7
0.6642293337773946,0.654182911299997,82.31631633690829,82.8060628287311,7,124,1740269155,checkpoint_000007,True,False,c75247d6,2025-02-23_01-05-56,1236.98428606987,9707.078800201416,158348,jan-desktop,10.7.0.4,9707.078800201416,8
0.6492453293005626,0.6757223647005028,82.62609847550954,82.16041861850756,8,124,1740270500,checkpoint_000008,True,False,c75247d6,2025-02-23_01-28-20,1344.2856149673462,11051.364415168762,158348,jan-desktop,10.7.0.4,11051.364415168762,9
0.6317975585245423,0.6309227633476258,83.18466281948554,83.0612806130835,9,124,1740271666,checkpoint_000009,True,False,c75247d6,2025-02-23_01-47-47,1166.2019803524017,12217.566395521164,158348,jan-desktop,10.7.0.4,12217.566395521164,10
0.6140931099880901,0.6160422540725106,83.45457886464497,82.99497226331361,10,124,1740272830,checkpoint_000010,True,False,c75247d6,2025-02-23_02-07-11,1164.1695737838745,13381.735969305038,158348,jan-desktop,10.7.0.4,13381.735969305038,11
0.6033605972636077,0.6026769146737125,83.7272702991453,83.82461261094674,11,124,1740274021,checkpoint_000011,True,False,c75247d6,2025-02-23_02-27-01,1190.122686624527,14571.858655929565,158348,jan-desktop,10.7.0.4,14571.858655929565,12
0.5906179773553999,0.590944008603692,83.94982335839907,84.00846205210388,12,124,1740275220,checkpoint_000012,True,False,c75247d6,2025-02-23_02-47-01,1199.6090886592865,15771.467744588852,158348,jan-desktop,10.7.0.4,15771.467744588852,13
0.5869534173323255,0.598184553504818,83.97397071211374,83.56605070677186,13,124,1740276388,checkpoint_000013,True,False,c75247d6,2025-02-23_03-06-28,1167.2272582054138,16938.695002794266,158348,jan-desktop,10.7.0.4,16938.695002794266,14
0.5708724718954828,0.6065107859505547,84.34861401319033,83.3947345496384,14,124,1740277553,checkpoint_000014,True,False,c75247d6,2025-02-23_03-25-54,1165.5561344623566,18104.251137256622,158348,jan-desktop,10.7.0.4,18104.251137256622,15
0.5599493543291465,0.5966583311806123,84.64211078751643,83.44014289529915,15,124,1740278752,checkpoint_000015,True,False,c75247d6,2025-02-23_03-45-52,1198.3372099399567,19302.58834719658,158348,jan-desktop,10.7.0.4,19302.58834719658,16
0.5560037475772616,0.5772983703658813,84.69686431623931,84.57496157955292,16,124,1740279963,checkpoint_000016,True,False,c75247d6,2025-02-23_04-06-04,1211.593929052353,20514.182276248932,158348,jan-desktop,10.7.0.4,20514.182276248932,17
0.5519083273638454,0.6039668363001611,84.84841055945924,83.56142196745562,17,124,1740281333,checkpoint_000017,True,False,c75247d6,2025-02-23_04-28-53,1369.080020904541,21883.262297153473,158348,jan-desktop,10.7.0.4,21883.262297153473,18
0.5501205092627142,0.5929313883557916,84.82596903763971,83.70734385272847,18,124,1740282539,checkpoint_000018,True,False,c75247d6,2025-02-23_04-49-00,1206.7263503074646,23089.988647460938,158348,jan-desktop,10.7.0.4,23089.988647460938,19
0.5345018095067806,0.5669596384341518,85.17521976187541,84.4730535009862,19,124,1740283738,checkpoint_000019,True,False,c75247d6,2025-02-23_05-08-59,1198.4082295894623,24288.3968770504,158348,jan-desktop,10.7.0.4,24288.3968770504,20
0.5310131607173632,0.5735573881202274,85.26840706669132,84.1857158119658,20,124,1740284945,checkpoint_000020,True,False,c75247d6,2025-02-23_05-29-05,1206.8744070529938,25495.271284103394,158348,jan-desktop,10.7.0.4,25495.271284103394,21
0.5220130657011436,0.5521213871488968,85.4938991617357,84.62383269641683,21,124,1740286151,checkpoint_000021,True,False,c75247d6,2025-02-23_05-49-11,1205.9185183048248,26701.18980240822,158348,jan-desktop,10.7.0.4,26701.18980240822,22
